Date,Max Temperature(°C),Min Temperature(°C),Precipitation(mm),Relative Humidity(%)
'1 January 2023',17.23,9.03,0,79.46
'2 January 2023',14.5,7.42,3,81.08
'3 January 2023',9.97,3.15,0,94.55
'4 January 2023',10.72,4.5,0,86.21
'5 January 2023',12.41,8.64,1,91.14
'6 January 2023',10.5,6.86,0,90.27
'7 January 2023',11.09,5.57,0,89.36
'8 January 2023',9.05,4.15,8,92.8
'9 January 2023',9.05,5.18,7,84.61
'10 January 2023',7.52,4.78,3,78.87
'11 January 2023',9.89,7.28,2,83.6
'12 January 2023',10.41,7.38,0,75.28
'13 January 2023',10.72,7.62,2,78.23
'14 January 2023',10.82,6.32,4,74.99
'15 January 2023',12.24,4.42,11,78.35
'16 January 2023',6.83,3.59,2,70.85
'17 January 2023',3.77,0.79,5,93.1
'18 January 2023',2.26,-0.4,2,90.72
'19 January 2023',1.82,-3.11,0,85.56
'20 January 2023',1.99,-3.71,0,82.33
'21 January 2023',1.07,-4.52,0,81.34
'22 January 2023',1.74,-0.73,1,85.6
'23 January 2023',3.42,0.4,0,79.14
'24 January 2023',5.04,3.1,0,79.43
'25 January 2023',3.6,2.28,0,85.67
'26 January 2023',2.42,-0.72,0,85.13
'27 January 2023',1.47,-1.09,0,83.36
'28 January 2023',2.92,-0.11,0,79.79
'29 January 2023',2.55,-2.73,0,77.87
'30 January 2023',3.23,-3.14,1,84.93
'31 January 2023',5.15,-0.43,0,86.86
'1 February 2023',6.77,2.92,1,81.04
'2 February 2023',7.39,4.98,1,78.47
'3 February 2023',8.4,5.27,0,75.1
'4 February 2023',8.84,2.06,4,87.25
'5 February 2023',5.57,0.35,6,93.89
'6 February 2023',4.99,2.01,0,82.64
'7 February 2023',4.8,-3.16,0,73.65
'8 February 2023',3.12,-4.45,0,70.41
'9 February 2023',6.03,-6.12,0,78.17
'10 February 2023',6.37,-5.79,0,81.59
'11 February 2023',8.3,-5.11,0,78.9
'12 February 2023',10.2,-3.11,0,84.98
'13 February 2023',9.1,0.26,0,88.3
'14 February 2023',9.26,-1.06,0,86.42
'15 February 2023',11.37,-1.44,0,85.29
'16 February 2023',13.82,-0.98,0,77.58
'17 February 2023',13.39,7.7,0,74.41
'18 February 2023',15.06,10.19,0,80.59
'19 February 2023',11.24,8.05,0,76.55
'20 February 2023',15.65,2.3,0,76.2
'21 February 2023',16.64,0.54,0,74.33
'22 February 2023',13.23,1.75,2,83.88
'23 February 2023',13.83,7.05,1,89.27
'24 February 2023',13.38,3.79,2,89.31
'25 February 2023',9.3,1.76,3,76.78
'26 February 2023',1.99,-1.05,1,63.46
'27 February 2023',2.86,-0.1,0,57.69
'28 February 2023',2.83,-1.35,0,68.63
'1 March 2023',4.98,-1.83,0,74.02
'2 March 2023',6.32,0.74,0,76.7
'3 March 2023',8.38,0,0,83.23
'4 March 2023',8.21,-0.55,0,79.06
'5 March 2023',6.89,0.19,0,75.73
'6 March 2023',6.12,-0.04,0,75.06
'7 March 2023',7.19,0.78,0,63.32
'8 March 2023',12.87,1.72,4,77.67
'9 March 2023',15.9,10.28,5,67.86
'10 March 2023',11.22,6.15,9,77.42
'11 March 2023',6.5,1.65,2,77.82
'12 March 2023',13.25,3.75,1,82.37
'13 March 2023',21.62,9.22,9,68.32
'14 March 2023',12.45,6.13,13,75.04
'15 March 2023',9.35,0.95,1,71.28
'16 March 2023',13.42,-0.61,0,70.84
'17 March 2023',17.38,1.7,0,67.38
'18 March 2023',17.73,3.93,0,62.32
'19 March 2023',13.74,7.56,4,74.92
'20 March 2023',13.74,6.39,0,81.45
'21 March 2023',16.13,2.67,0,78.41
'22 March 2023',19.29,5.38,0,68.89
'23 March 2023',16.55,11.24,0,68.07
'24 March 2023',14.64,9.78,7,78.67
'25 March 2023',12.59,7.24,5,74.65
'26 March 2023',12.6,6.48,4,78.7
'27 March 2023',7.3,3.07,2,70.63
'28 March 2023',11.04,-1.85,1,69.67
'29 March 2023',19.71,8,1,60.71
'30 March 2023',16.67,12.44,1,67.27
'31 March 2023',14.55,9.94,10,69.82
'1 April 2023',11.33,8.07,7,82.24
'2 April 2023',12.02,7.08,3,82.64
'3 April 2023',8.21,3.75,0,68.93
'4 April 2023',9.76,-1.28,0,56.5
'5 April 2023',10.77,-0.92,0,60.84
'6 April 2023',12.82,-2.08,0,59.04
'7 April 2023',9.37,5.62,3,80.1
'8 April 2023',12.03,5.32,1,77.72
'9 April 2023',15.34,2.85,0,68.56
'10 April 2023',17.5,2.37,0,66.75
'11 April 2023',14.58,9.6,4,68.05
'12 April 2023',13.8,8.12,9,83.55
'13 April 2023',9.67,5.45,1,72.67
'14 April 2023',14.19,2.12,0,68.8
'15 April 2023',12.78,4.45,2,77.52
'16 April 2023',10.17,8.3,4,89.6
'17 April 2023',13.82,7.99,3,83.87
'18 April 2023',15.76,7.55,0,76.64
'19 April 2023',13.49,6.45,1,78.82
'20 April 2023',9.28,4.5,2,79.45
'21 April 2023',13.3,2.63,1,85.24
'22 April 2023',18.55,6.51,0,77.95
'23 April 2023',19.45,9.75,6,78.57
'24 April 2023',13.02,8.92,1,70.35
'25 April 2023',11.32,6.29,7,79.3
'26 April 2023',15.04,3.8,0,77
'27 April 2023',19.05,8.31,0,72.06
'28 April 2023',18.74,11.88,13,87.62
'29 April 2023',19.67,12.31,0,78.06
'30 April 2023',18.19,9.31,0,72.65
'1 May 2023',16.1,10.66,3,81.1
'2 May 2023',17.06,8.93,0,76.3
'3 May 2023',20.63,6.11,0,72.78
'4 May 2023',24.54,7.47,0,70.64
'5 May 2023',22.46,14.16,4,77.06
'6 May 2023',22.59,12.44,0,76.91
'7 May 2023',20.32,11.53,3,83.62
'8 May 2023',19.16,14.16,4,88.59
'9 May 2023',20.27,12.13,9,88.6
'10 May 2023',15.47,11.59,1,79.06
'11 May 2023',14.61,10.77,3,81.64
'12 May 2023',16.81,10.51,1,83.25
'13 May 2023',15.73,11.05,3,82.65
'14 May 2023',17.21,10.05,3,83.49
'15 May 2023',17.07,9.66,9,86.51
'16 May 2023',12.43,10.53,2,85.42
'17 May 2023',14.76,7.52,0,63.35
'18 May 2023',16.58,5.82,0,66.86
'19 May 2023',16.36,9.32,0,68.41
'20 May 2023',18.78,11.83,0,77.39
'21 May 2023',24.41,12.22,1,78.25
'22 May 2023',26.09,13.98,2,72.68
'23 May 2023',21.39,15.99,0,77.7
'24 May 2023',16.74,12.11,0,69.07
'25 May 2023',20.64,9.82,0,66.16
'26 May 2023',24.25,10.7,0,69.86
'27 May 2023',25.86,11.18,0,61.83
'28 May 2023',26.14,10.39,0,59.05
'29 May 2023',26.91,10.11,0,54.88
'30 May 2023',25.61,11.89,0,54.51
'31 May 2023',26.99,12.25,0,46.83
'1 June 2023',27.31,11.66,0,52.92
'2 June 2023',26.29,14.45,0,52.31
'3 June 2023',26.78,12.24,0,52.6
'4 June 2023',26.7,12.84,1,58.63
'5 June 2023',27.21,11.82,0,48.09
'6 June 2023',27.19,12.36,0,48.82
'7 June 2023',27.41,12.7,0,49.61
'8 June 2023',28.32,12.69,0,53.37
'9 June 2023',29.6,13.27,0,55.57
'10 June 2023',29.56,15.57,0,51.67
'11 June 2023',29.63,16.38,0,52.52
'12 June 2023',29.81,14.14,0,42.43
'13 June 2023',28.49,13.63,0,36.92
'14 June 2023',27.85,10.72,0,37.76
'15 June 2023',27.69,13.88,0,42.36
'16 June 2023',28.27,13.56,0,43.33
'17 June 2023',29.98,11.79,0,40.23
'18 June 2023',31.3,15.24,0,45.97
'19 June 2023',30.49,19.39,0,57.35
'20 June 2023',32.32,19.09,6,69.34
'21 June 2023',27.75,20.12,1,71.03
'22 June 2023',29.43,18.38,12,76.47
'23 June 2023',25.96,17.51,2,65
'24 June 2023',28.92,13.08,0,56.45
'25 June 2023',31.29,13.52,0,51.8
'26 June 2023',30.34,17.06,0,52.33
'27 June 2023',25.74,15.84,0,49.38
'28 June 2023',27.56,14.68,0,50.46
'29 June 2023',28.13,14.86,1,56.69
'30 June 2023',22.08,17.98,11,78.47
'1 July 2023',23.12,15.83,1,69.17
'2 July 2023',24.67,17.48,1,64.87
'3 July 2023',24.36,16.64,0,53.69
'4 July 2023',26.03,16.92,0,61.68
'5 July 2023',23.41,17.88,4,62.45
'6 July 2023',27.54,13.98,0,48.3
'7 July 2023',32.56,13.1,0,49.24
'8 July 2023',31.45,19.66,1,55.91
'9 July 2023',35.51,18.01,0,50.86
'10 July 2023',32.15,21.35,0,61.79
'11 July 2023',36.15,19.68,5,57.72
'12 July 2023',26.92,20.84,2,73.22
'13 July 2023',26.7,17.28,0,54.89
'14 July 2023',30.9,13.55,0,53.38
'15 July 2023',32.99,17.84,9,56.7
'16 July 2023',25.05,16.97,4,67.51
'17 July 2023',26.93,18.89,0,54.24
'18 July 2023',27.54,15.95,3,62.12
'19 July 2023',29.59,19.88,1,59.98
'20 July 2023',27.08,16.99,0,49.1
'21 July 2023',24.24,15.44,2,60.92
'22 July 2023',27.16,13.7,0,53.27
'23 July 2023',28.89,14.26,0,52.64
'24 July 2023',23.39,17.74,9,77.94
'25 July 2023',20.71,14.84,13,79.19
'26 July 2023',20.58,12.93,1,73.22
'27 July 2023',25.82,12.35,0,68.42
'28 July 2023',25.32,16.55,2,76.9
'29 July 2023',26.05,17.82,4,80.77
'30 July 2023',24.4,15.96,3,69.28
'31 July 2023',25.33,12.58,0,63.86
'1 August 2023',21.45,16.54,12,72.4
'2 August 2023',27.63,15.18,5,72.03
'3 August 2023',23.21,16.96,0,57.13
'4 August 2023',19.69,15.16,3,77.11
'5 August 2023',22.56,13.85,1,71.85
'6 August 2023',17.4,13.63,6,76
'7 August 2023',19.37,12.41,1,68.87
'8 August 2023',22.69,9.08,0,68.04
'9 August 2023',23.95,15.17,0,66.19
'10 August 2023',28.43,13.53,0,65.08
'11 August 2023',31.96,14.08,0,60.88
'12 August 2023',28.96,18.78,3,71.81
'13 August 2023',29.67,19.37,4,74.59
'14 August 2023',31.2,19.62,0,69
'15 August 2023',30.75,19.93,0,62.87
'16 August 2023',32.45,17.45,1,65.34
'17 August 2023',29.85,18.32,1,71.33
'18 August 2023',34.44,17.57,0,56.25
'19 August 2023',34.68,18.58,0,52.61
'20 August 2023',34.66,19.31,0,64.34
'21 August 2023',35.28,21.5,0,57.41
'22 August 2023',35.19,20.84,0,58.28
'23 August 2023',33.85,21.44,0,56.72
'24 August 2023',35.9,19.54,2,61.52
